District Name,District Code,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,Free Lunch #,Free Lunch %,Reduced Lunch #,Reduced Lunch %,High Needs #,High Needs #,Economically Disadvantaged #,Economically Disadvantaged %
Canton,00500000,259,8,89,2.8,467,14.2,711,22,,,,,1128,34.3,,
Cape Cod Lighthouse Charter (District),04320000,15,6,1,0.4,47,18.8,69,27.6,,,,,103,41.2,,
Cape Cod Regional Vocational Technical,08150000,33,5,15,2.3,166,25.4,342,52.3,,,,,418,63.9,,
Carlisle,00510000,28,4.6,13,2.1,84,13.5,27,4.4,,,,,123,19.8,,
Carver,00520000,30,2,28,1.9,298,19.6,529,35.1,,,,,695,45.8,,
Central Berkshire,06350000,15,1,9,0.6,238,15.6,678,44.7,,,,,778,51,,
Chelmsford,00560000,1203,24.3,211,4.3,837,16.7,950,19.2,,,,,1732,34.6,,
Chelsea,00570000,5137,84.6,2524,41.6,1007,16.1,5047,83.1,,,,,5702,91.4,,
Chesterfield-Goshen,06320000,0,0,0,0,23,15.5,59,39.9,,,,,72,48.6,,
Chicopee,00610000,916,13.5,428,6.3,1289,18.9,4686,69,,,,,5050,74.1,,
Christa McAuliffe Charter Public (District),04180000,115,29.6,21,5.4,70,18,305,78.6,,,,,328,84.5,,
City on a Hill Charter Public School (District),04370000,63,27.5,56,24.5,56,24.5,179,78.2,,,,,202,88.2,,
Clarksburg,00630000,0,0,0,0,34,16.1,90,42.7,,,,,107,50.7,,
Clinton,00640000,552,29,284,14.9,424,21.9,1032,54.2,,,,,1251,64.6,,
Codman Academy Charter Public (District),04380000,79,23,42,12.2,86,25.1,295,86,,,,,310,90.4,,
Cohasset,00650000,8,0.6,1,0.1,196,13.6,106,7.5,,,,,279,19.4,,
Collegiate Charter School of Lowell (District),35030000,381,34.1,235,21,70,6.3,738,66.1,,,,,861,77.1,,
Community Charter School of Cambridge (District),04360000,126,43.8,29,10.1,49,17,175,60.8,,,,,202,70.1,,
Community Day Charter Public School - Gateway (District),04260000,217,54.1,91,22.7,45,11.2,298,74.3,,,,,328,81.8,,
